FECHA.CONEXION,dia_semana,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE.USO,NUMERO.CONEXIONES,USAGE.KB
2024-01-01,0,0,0,1,1827.4,33,15974078
2024-01-02,1,1,0,0,1353.3,16,11392766
2024-01-03,2,1,0,0,1195.1,21,14482236
2024-01-04,3,1,0,0,808.9,24,8545332
2024-01-05,4,1,0,0,235.7,22,2555777
2024-01-06,5,0,1,0,0.6,23,4708
2024-01-07,6,0,1,0,0.7,17,7143
2024-01-08,0,0,0,1,1.5,16,23977
2024-01-09,1,1,0,0,686.4,21,8895042
2024-01-10,2,1,0,0,1010.0,23,12184683
2024-01-11,3,1,0,0,323.7,13,3482636
2024-01-12,4,1,0,0,1.0,24,11081
2024-01-13,5,0,1,0,0.2,20,2223
2024-01-14,6,0,1,0,0.2,10,1255
2024-01-15,0,1,0,0,0.1,15,822
2024-01-16,1,1,0,0,1.4,14,12062
2024-01-17,2,1,0,0,0.3,15,2915
2024-01-18,3,1,0,0,65.2,24,781951
2024-01-19,4,1,0,0,1524.1,20,23395107
2024-01-20,5,0,1,0,1109.5,27,14367615
2024-01-21,6,0,1,0,705.8,12,9138892
2024-01-22,0,1,0,0,771.7,15,8091703
2024-01-23,1,1,0,0,725.1,19,7831058
2024-01-24,2,1,0,0,628.4,16,7859913
2024-01-25,3,1,0,0,680.2,23,10167389
2024-01-26,4,1,0,0,731.0,15,10070075
2024-01-27,5,0,1,0,1089.8,26,13527355
2024-01-28,6,0,1,0,1010.9,18,10390811
2024-01-29,0,1,0,0,235.3,17,2739278
2024-01-30,1,1,0,0,624.3,15,5651228
2024-01-31,2,1,0,0,477.2,15,4983980
2024-02-01,3,1,0,0,446.3,20,6207757
2024-02-02,4,1,0,0,1158.0,14,11062718
2024-02-03,5,0,1,0,687.5,25,12198402
2024-02-04,6,0,1,0,869.9,22,13912096
2024-02-05,0,1,0,0,743.1,19,11186604
2024-02-06,1,1,0,0,506.5,21,7569336
2024-02-07,2,1,0,0,732.2,18,12087396
2024-02-08,3,1,0,0,898.0,34,12201540
2024-02-09,4,1,0,0,1512.4,39,18199147
2024-02-10,5,0,1,0,698.5,49,11156713
2024-02-11,6,0,1,0,1192.6,34,16026308
2024-02-12,0,1,0,0,1637.6,40,16955582
2024-02-13,1,1,0,0,900.2,28,7798143
2024-02-14,2,1,0,0,1002.2,33,7569559
2024-02-15,3,1,0,0,1360.9,29,15891920
2024-02-16,4,1,0,0,1770.0,33,18662496
2024-02-17,5,0,1,0,2022.0,36,21380710
2024-02-18,6,0,1,0,1255.8,29,16254126
2024-02-19,0,1,0,0,1441.0,38,21117510
2024-02-20,1,1,0,0,509.6,28,6222397
2024-02-21,2,1,0,0,6.8,27,78299
2024-02-22,3,1,0,0,1.1,36,17563
2024-02-23,4,1,0,0,3.1,28,43473
2024-02-24,5,0,1,0,4.6,25,57889
2024-02-25,6,0,1,0,0.4,36,7339
2024-02-26,0,1,0,0,1.1,25,12778
2024-02-27,1,1,0,0,3.5,22,40195
2024-02-28,2,1,0,0,1.2,25,20487
2024-02-29,3,1,0,0,5.9,23,46326
2024-03-01,4,1,0,0,511.8,25,6140732
2024-03-02,5,0,1,0,2358.4,28,24270016
2024-03-03,6,0,1,0,1489.0,28,20754859
2024-03-04,0,1,0,0,811.2,24,11534215
2024-03-05,1,1,0,0,1002.8,32,13821045
2024-03-06,2,1,0,0,1492.1,29,18057923
2024-03-07,3,1,0,0,320.4,34,3422670
2024-03-08,4,1,0,0,5.8,30,62169
2024-03-09,5,0,1,0,47.2,48,466963
2024-03-10,6,0,1,0,0.9,30,8631
2024-03-11,0,1,0,0,2.6,21,24204
2024-03-12,1,1,0,0,5.9,27,51892
2024-03-13,2,1,0,0,1105.5,27,8183773
2024-03-14,3,1,0,0,2373.2,31,23025357
2024-03-15,4,1,0,0,1426.5,26,18585046
2024-03-16,5,0,1,0,1055.9,30,11941621
2024-03-17,6,0,1,0,1186.9,23,15369903
2024-03-18,0,1,0,0,1163.5,23,13969145
2024-03-19,1,1,0,0,600.3,21,4524729
2024-03-20,2,1,0,0,1486.0,18,9740601
2024-03-21,3,1,0,0,124.0,26,1082678
2024-03-22,4,1,0,0,26.1,20,254446
2024-03-23,5,0,1,0,2.3,31,17992
2024-03-24,6,0,0,1,1.9,23,17368
2024-03-25,0,0,0,1,2.3,17,16406
2024-03-26,1,1,0,0,807.1,20,6284717
2024-03-27,2,1,0,0,945.4,21,7636635
2024-03-28,3,0,0,1,193.6,14,1235394
2024-03-29,4,0,0,1,0.3,20,3011
2024-03-30,5,0,1,0,1.7,19,10398
2024-03-31,6,0,0,1,0.8,15,5935
2024-04-01,0,1,0,0,517.9,22,5432972
2024-04-02,1,1,0,0,1084.1,22,7627537
2024-04-03,2,1,0,0,881.0,20,7937721
2024-04-04,3,1,0,0,3.1,29,35549
2024-04-05,4,1,0,0,1.7,30,19254
2024-04-06,5,0,1,0,2.6,25,31777
2024-04-07,6,0,1,0,0.5,15,6309
2024-04-08,0,1,0,0,0.8,17,5895
2024-04-09,1,1,0,0,0.9,26,6661
2024-04-10,2,1,0,0,4.9,23,20993
2024-04-11,3,1,0,0,1.7,19,7646
2024-04-12,4,1,0,0,1.0,18,6775
2024-04-13,5,0,1,0,1693.1,39,14405286
2024-04-14,6,0,1,0,935.3,19,6450992
2024-04-15,0,1,0,0,1147.5,18,4593134
2024-04-16,1,1,0,0,2.1,23,8869
2024-04-17,2,1,0,0,1.1,21,3985
2024-04-18,3,1,0,0,1.5,19,4264
2024-04-19,4,1,0,0,0.9,14,3520
2024-04-20,5,0,1,0,0.8,23,6540
2024-04-21,6,0,1,0,83.0,14,513737
2024-04-22,0,1,0,0,733.0,10,3409386
2024-04-23,1,1,0,0,519.8,19,9542810
2024-04-24,2,1,0,0,676.4,27,12422898
2024-04-25,3,1,0,0,862.0,24,10229210
2024-04-26,4,1,0,0,485.5,15,4865240
2024-04-27,5,0,1,0,317.2,23,3869604
2024-04-28,6,0,1,0,1.7,20,12853
2024-04-29,0,1,0,0,0.6,20,5011
2024-04-30,1,1,0,0,243.5,23,1533906
2024-05-01,2,0,0,1,1.4,23,7291
2024-05-02,3,1,0,0,1.2,21,6278
2024-05-03,4,1,0,0,0.5,14,2365
2024-05-04,5,0,1,0,128.6,26,928774
2024-05-05,6,0,1,0,2.2,18,13346
2024-05-06,0,1,0,0,1113.7,18,5321742
2024-05-07,1,1,0,0,1476.4,19,8951710
2024-05-08,2,1,0,0,1352.0,24,10710347
2024-05-09,3,1,0,0,1233.6,20,10869694
2024-05-10,4,1,0,0,1120.7,21,8841948
2024-05-11,5,0,1,0,1134.5,27,8453751
2024-05-12,6,0,1,0,7.3,26,30268
2024-05-13,0,0,0,1,4.3,14,24169
2024-05-14,1,1,0,0,447.6,13,970347
2024-05-15,2,1,0,0,2520.6,22,15575887
2024-05-16,3,1,0,0,285.0,23,2325590
2024-05-17,4,1,0,0,910.8,19,9468818
2024-05-18,5,0,1,0,1306.9,21,14346823
2024-05-19,6,0,1,0,1535.3,29,17953347
2024-05-20,0,1,0,0,1653.1,26,11638624
2024-05-21,1,1,0,0,2120.1,24,16466935
2024-05-22,2,1,0,0,41.9,28,107925
2024-05-23,3,1,0,0,1.4,17,7553
2024-05-24,4,1,0,0,6.4,20,30353
2024-05-25,5,0,1,0,687.7,18,4898687
2024-05-26,6,0,1,0,674.7,20,4662008
2024-05-27,0,1,0,0,231.5,16,1968512
2024-05-28,1,1,0,0,1508.6,19,11235085
2024-05-29,2,1,0,0,2255.5,22,11282190
2024-05-30,3,1,0,0,965.7,21,11555942
2024-05-31,4,1,0,0,1214.0,18,11286983
