FECHA.CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE.USO,NUMERO.CONEXIONES,USAGE.KB
2024-01-01,0,0,0,1,"4,4",110,38318
2024-01-02,1,1,0,0,"1,7",73,14047
2024-01-03,2,1,0,0,"19,8",66,239653
2024-01-04,3,1,0,0,"1,4",67,14957
2024-01-05,4,1,0,0,"2,0",64,21494
2024-01-06,5,0,1,0,"160,6",91,1231726
2024-01-07,6,0,1,0,"621,9",86,6241864
2024-01-08,0,0,0,1,"492,8",89,7769799
2024-01-09,1,1,0,0,"1,7",85,22198
2024-01-10,2,1,0,0,"0,7",74,8452
2024-01-11,3,1,0,0,"0,5",73,5690
2024-01-12,4,1,0,0,"0,8",75,9471
2024-01-13,5,0,1,0,"1,7",92,15318
2024-01-14,6,0,1,0,"4,5",104,35531
2024-01-15,0,1,0,0,"2,2",94,15559
2024-01-16,1,1,0,0,"4,8",90,40819
2024-01-17,2,1,0,0,"1,9",99,18536
2024-01-18,3,1,0,0,"1,6",83,19045
2024-01-19,4,1,0,0,"2,0",87,31190
2024-01-20,5,0,1,0,"1,5",96,19959
2024-01-21,6,0,1,0,"3,8",105,49215
2024-01-22,0,1,0,0,"2,7",110,27913
2024-01-23,1,1,0,0,"72,4",71,781843
2024-01-24,2,1,0,0,"205,2",59,2566083
2024-01-25,3,1,0,0,"16,8",87,251641
2024-01-26,4,1,0,0,"1,4",92,18731
2024-01-27,5,0,1,0,"1,4",88,16971
2024-01-28,6,0,1,0,"1,3",82,13497
2024-01-29,0,1,0,0,"1,6",99,18913
2024-01-30,1,1,0,0,"3,0",78,26817
2024-01-31,2,1,0,0,"1,5",71,15312
2024-02-01,3,1,0,0,"1,5",103,21166
2024-02-02,4,1,0,0,"0,6",40,6201
2024-02-03,5,0,1,0,"212,1",65,3763484
2024-02-04,6,0,1,0,"142,2",58,2273658
2024-02-05,0,1,0,0,"0,4",72,5610
2024-02-06,1,1,0,0,"88,4",74,1320336
2024-02-07,2,1,0,0,"147,6",74,2436371
2024-02-08,3,1,0,0,"285,4",88,3877311
2024-02-09,4,1,0,0,"77,3",98,930606
2024-02-10,5,0,1,0,"1,8",92,29503
2024-02-11,6,0,1,0,"8,7",91,117406
2024-02-12,0,1,0,0,"1,3",88,12977
2024-02-13,1,1,0,0,"2,1",96,18459
2024-02-14,2,1,0,0,"2,2",91,16364
2024-02-15,3,1,0,0,"0,4",76,5161
2024-02-16,4,1,0,0,"5,7",89,60628
2024-02-17,5,0,1,0,"4,0",89,42758
2024-02-18,6,0,1,0,"5,1",98,65923
2024-02-19,0,1,0,0,"1,5",90,21499
2024-02-20,1,1,0,0,"1,6",80,19058
2024-02-21,2,1,0,0,"195,2",80,2251466
2024-02-22,3,1,0,0,"325,1",114,4976239
2024-02-23,4,1,0,0,"85,6",115,1218532
2024-02-24,5,0,1,0,"4,4",114,54838
2024-02-25,6,0,1,0,"2,3",90,39832
2024-02-26,0,1,0,0,"2,4",116,26954
2024-02-27,1,1,0,0,"6,2",126,71480
2024-02-28,2,1,0,0,"1,8",89,31270
2024-02-29,3,1,0,0,"1,5",113,11766
2024-03-01,4,1,0,0,"312,5",88,3749209
2024-03-02,5,0,1,0,"48,9",75,503712
2024-03-03,6,0,1,0,"1,2",90,16390
2024-03-04,0,1,0,0,"0,7",103,9319
2024-03-05,1,1,0,0,"1,3",115,17311
2024-03-06,2,1,0,0,"0,8",81,10202
2024-03-07,3,1,0,0,"2,5",124,26952
2024-03-08,4,1,0,0,"1,3",98,14425
2024-03-09,5,0,1,0,"2,4",105,23468
2024-03-10,6,0,1,0,"2,2",97,20679
2024-03-11,0,1,0,0,"1,6",99,15324
2024-03-12,1,1,0,0,"3,1",108,27121
2024-03-13,2,1,0,0,"12,1",78,89497
2024-03-14,3,1,0,0,"2,1",98,20657
2024-03-15,4,1,0,0,"94,3",130,1228524
2024-03-16,5,0,1,0,"328,0",98,3709491
2024-03-17,6,0,1,0,"2,7",109,34590
2024-03-18,0,1,0,0,"2,2",116,25944
2024-03-19,1,1,0,0,"2,3",99,17446
2024-03-20,2,1,0,0,"3,2",106,20746
2024-03-21,3,1,0,0,"3,4",85,29301
2024-03-22,4,1,0,0,"3,1",97,30063
2024-03-23,5,0,1,0,"230,1",94,1794993
2024-03-24,6,0,0,1,"289,6",100,2634264
2024-03-25,0,0,0,1,"2,9",96,20040
2024-03-26,1,1,0,0,"2,9",105,22847
2024-03-27,2,1,0,0,"3,0",91,24059
2024-03-28,3,0,0,1,"1,1",82,6758
2024-03-29,4,0,0,1,"48,3",47,478395
2024-03-30,5,0,1,0,"1270,1",92,7920800
2024-03-31,6,0,0,1,"369,6",89,2815220
2024-04-01,0,1,0,0,"1,7",89,17315
2024-04-02,1,1,0,0,"78,4",56,551632
2024-04-03,2,1,0,0,"295,7",88,2664336
2024-04-04,3,1,0,0,"284,0",98,3265380
2024-04-05,4,1,0,0,"1,6",114,17476
2024-04-06,5,0,1,0,"654,1",99,7872075
2024-04-07,6,0,1,0,"493,1",88,5897827
2024-04-08,0,1,0,0,"2,3",107,16236
2024-04-09,1,1,0,0,"642,0",95,4912351
2024-04-10,2,1,0,0,"441,3",90,1875705
2024-04-11,3,1,0,0,"5,7",110,25094
2024-04-12,4,1,0,0,"317,1",203,2152833
2024-04-13,5,0,1,0,"9,2",205,78368
2024-04-14,6,0,1,0,"4,2",190,29084
2024-04-15,0,1,0,0,"4,1",182,16163
2024-04-16,1,1,0,0,"9,3",202,39850
2024-04-17,2,1,0,0,"11,7",194,43803
2024-04-18,3,1,0,0,"3,4",146,9750
2024-04-19,4,1,0,0,"2,2",121,8750
2024-04-20,5,0,1,0,"3,7",188,28707
2024-04-21,6,0,1,0,"9,6",195,59084
